,open,high,low,close,volume,marketCap,timestamp,crypto_name,date
0,112.9000015259,118.8000030518,107.1429977417,115.9100036621,0.0,1288693175.5,2013-05-05T23:59:59.999Z,Bitcoin,2013-05-05
1,3.4931299686,3.6924600601,3.3460600376,3.5908899307,0.0,62298185.4291,2013-05-05T23:59:59.999Z,Litecoin,2013-05-05
2,115.9800033569,124.6630020142,106.6399993896,112.3000030518,0.0,1249023060.0,2013-05-06T23:59:59.999Z,Bitcoin,2013-05-06
3,3.594219923,3.7810199261,3.1160199642,3.3712499142,0.0,58594361.235,2013-05-06T23:59:59.999Z,Litecoin,2013-05-06
4,112.25,113.4440002441,97.6999969482,111.5,0.0,1240593600.0,2013-05-07T23:59:59.999Z,Bitcoin,2013-05-07
5,3.3708701134,3.406719923,2.9397900105,3.3327400684,0.0,58051265.0352,2013-05-07T23:59:59.999Z,Litecoin,2013-05-07
6,3.2836201191,3.4911201,3.2836201191,3.4092400074,0.0,59508216.0152,2013-05-08T23:59:59.999Z,Litecoin,2013-05-08
7,109.5999984741,115.7799987793,109.5999984741,113.5660018921,0.0,1264049202.15,2013-05-08T23:59:59.999Z,Bitcoin,2013-05-08
8,3.3993999958,3.4416899681,3.294850111,3.4161500931,0.0,59755569.092,2013-05-09T23:59:59.999Z,Litecoin,2013-05-09
9,113.1999969482,113.4599990845,109.2600021362,112.6699981689,0.0,1254535382.0,2013-05-09T23:59:59.999Z,Bitcoin,2013-05-09
10,112.7990036011,122.0,111.5510025024,117.1999969482,0.0,1305479080.0,2013-05-10T23:59:59.999Z,Bitcoin,2013-05-10
11,3.4065299034,3.6316399574,3.3671898842,3.4433400631,0.0,60358926.6612,2013-05-10T23:59:59.999Z,Litecoin,2013-05-10
12,117.6999969482,118.6790008545,113.0100021362,115.2429962158,0.0,1284207489.42,2013-05-11T23:59:59.999Z,Bitcoin,2013-05-11
13,3.4603800774,3.4798099995,3.3006100655,3.3489599228,0.0,58809512.5488,2013-05-11T23:59:59.999Z,Litecoin,2013-05-11
14,3.3628098965,3.4222400188,3.2158699036,3.2694499493,0.0,57513319.9785,2013-05-12T23:59:59.999Z,Litecoin,2013-05-12
15,115.6399993896,117.4489974976,113.4349975586,115.0,0.0,1281982625.0,2013-05-12T23:59:59.999Z,Bitcoin,2013-05-12
16,3.260890007,3.3734300137,3.1989500523,3.2798399925,0.0,57790879.1952,2013-05-13T23:59:59.999Z,Litecoin,2013-05-13
17,114.8199996948,118.6989974976,114.5,117.9800033569,0.0,1315710010.5,2013-05-13T23:59:59.999Z,Bitcoin,2013-05-13
18,117.9800033569,119.8000030518,110.25,111.5,0.0,1243874487.5,2013-05-14T23:59:59.999Z,Bitcoin,2013-05-14
19,3.2810099125,3.3318500519,2.7771999836,2.8243000507,0.0,49847567.579,2013-05-14T23:59:59.999Z,Litecoin,2013-05-14
20,111.4000015259,115.8099975586,103.5,114.2200012207,0.0,1274623812.5,2013-05-15T23:59:59.999Z,Bitcoin,2013-05-15
21,2.8239901066,3.0358200073,2.6392500401,2.9354500771,0.0,51891652.211,2013-05-15T23:59:59.999Z,Litecoin,2013-05-15
22,114.2200012207,118.7600021362,112.1999969482,118.7600021362,0.0,1325726787.0,2013-05-16T23:59:59.999Z,Bitcoin,2013-05-16
23,2.9297399521,2.9676699638,2.6851100922,2.9191200733,0.0,51685880.3376,2013-05-16T23:59:59.999Z,Litecoin,2013-05-16
24,118.2099990845,125.3000030518,116.5709991455,123.0149993896,0.0,1373723881.88,2013-05-17T23:59:59.999Z,Bitcoin,2013-05-17
25,2.8914198875,3.3353300095,2.8707699776,3.1860899925,0.0,56498073.7257,2013-05-17T23:59:59.999Z,Litecoin,2013-05-17
26,3.1986498833,3.3637499809,3.1308801174,3.2949299812,0.0,58518793.7122,2013-05-18T23:59:59.999Z,Litecoin,2013-05-18
27,123.5,125.25,122.3000030518,123.4980010986,0.0,1379574545.85,2013-05-18T23:59:59.999Z,Bitcoin,2013-05-18
28,3.3020501137,3.412309885,3.1878800392,3.3034899235,0.0,58760676.4145,2013-05-19T23:59:59.999Z,Litecoin,2013-05-19
